file_path,folder_name,param_hash,experiment_type,args_problem_type,args_seed,args_prefix,args_model_type,args_num_layers,args_repeat_lift_layers,args_num_layers_project,args_rank,args_dropout,args_hidden_channels,args_norm,args_heads,args_finetune_from,args_lift_file,args_lr,args_batch_size,args_valid_freq,args_save_freq,args_penalty,args_stepwise,args_steps,args_epochs,args_train_fraction,args_dataset,args_data_seed,args_parallel,args_num_graphs,args_infinite,args_gen_n,args_gen_m,args_gen_k,args_gen_p,args_positional_encoding,args_pe_dimension,args_split_seed,args_log_dir,args_device,args_model_folder,args_model_file,args_test_prefix,args_use_val_set,args_test_problem_type,args_test_seed,args_test_device,args_stop_early_testing,args_num_test_attempts,stats_mean_raw_score,stats_std_raw_score,stats_mean_ratio (valid),stats_std_ratio (valid),stats_num_valid_ratios,stats_total_time_sec,stats_avg_time_per_instance_sec,stats_num_instances_evaluated,args_run_artifact_dir
training_runs/vertex_cover_COLLAB/paramhash_0eb5553c0858/COLLAB_eval@@VERTEX_COVER_results__20250520_105826.json,vertex_cover_COLLAB,paramhash_0eb5553c0858,TU,vertex_cover,42,vertex_cover_COLLAB,LiftMP,8,,4,8,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,100000,100,0.8,COLLAB,0,20,1000,True,,,,,random_walk,4,0,training_runs/vertex_cover_COLLAB/paramhash_0eb5553c0858,cpu,training_runs/vertex_cover_COLLAB/paramhash_0eb5553c0858,best_model.pt,,False,,,,False,100,-249.5625,962.0293634259559,251.7037037037037,721.1598972444946,27,623.2989346981049,9.739045854657888,64,
training_runs/vertex_cover_ENZYMES/paramhash_14a7ab4a8503/ENZYMES_eval@@VERTEX_COVER_results__20250520_132036.json,vertex_cover_ENZYMES,paramhash_14a7ab4a8503,TU,vertex_cover,42,vertex_cover_ENZYMES,LiftMP,8,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,100000,100,0.8,ENZYMES,0,20,1000,True,,,,,random_walk,8,0,training_runs/vertex_cover_ENZYMES/paramhash_14a7ab4a8503,cpu,training_runs/vertex_cover_ENZYMES/paramhash_14a7ab4a8503,best_model.pt,,False,,,,False,100,-26.65,12.61985868911904,12.538993710691825,10.379531009486875,53,77.96926307678223,1.2994877179463704,60,
training_runs/vertex_cover_IMDB-BINARY/paramhash_a8567dbe63ef/IMDB-BINARY_eval@@VERTEX_COVER_results__20250520_131910.json,vertex_cover_IMDB-BINARY,paramhash_a8567dbe63ef,TU,vertex_cover,42,vertex_cover_IMDB-BINARY,LiftMP,8,,4,8,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,100000,100,0.8,IMDB-BINARY,0,20,1000,True,,,,,random_walk,4,0,training_runs/vertex_cover_IMDB-BINARY/paramhash_a8567dbe63ef,cpu,training_runs/vertex_cover_IMDB-BINARY/paramhash_a8567dbe63ef,best_model.pt,,False,,,,False,100,-17.5,8.336666000266533,16.939393939393938,7.327570989242445,33,97.43446755409241,1.5224135555326939,64,
training_runs/vertex_cover_MUTAG/paramhash_b9fc8f1e9cdf/MUTAG_eval@@VERTEX_COVER_results__20250520_105848.json,vertex_cover_MUTAG,paramhash_b9fc8f1e9cdf,TU,vertex_cover,42,vertex_cover_MUTAG,LiftMP,8,,4,16,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,100000,100,0.8,MUTAG,0,20,1000,True,,,,,random_walk,8,0,training_runs/vertex_cover_MUTAG/paramhash_b9fc8f1e9cdf,cpu,training_runs/vertex_cover_MUTAG/paramhash_b9fc8f1e9cdf,best_model.pt,,False,,,,False,100,-10.421052631578947,4.107961326544812,12.916666666666666,3.0945741046045234,12,15.903480291366577,0.8370252784929777,19,
training_runs/vertex_cover_PROTEINS/paramhash_73d9dfbceb34/PROTEINS_eval@@VERTEX_COVER_results__20250520_105954.json,vertex_cover_PROTEINS,paramhash_73d9dfbceb34,TU,vertex_cover,42,vertex_cover_PROTEINS,LiftMP,8,,4,4,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,0.003,True,100000,100,0.8,PROTEINS,0,20,1000,True,,,,,random_walk,2,0,training_runs/vertex_cover_PROTEINS/paramhash_73d9dfbceb34,cpu,training_runs/vertex_cover_PROTEINS/paramhash_73d9dfbceb34,best_model.pt,,False,,,,False,100,-36.015625,61.55193238931963,20.142857142857142,17.143749976749724,28,60.47735118865967,0.9449586123228073,64,
