file_path,folder_name,param_hash,experiment_type,args_problem_type,args_seed,args_prefix,args_model_type,args_num_layers,args_repeat_lift_layers,args_num_layers_project,args_rank,args_dropout,args_hidden_channels,args_norm,args_heads,args_finetune_from,args_lift_file,args_lr,args_batch_size,args_valid_freq,args_save_freq,args_penalty,args_stepwise,args_steps,args_epochs,args_train_fraction,args_dataset,args_data_seed,args_parallel,args_num_graphs,args_infinite,args_gen_n,args_gen_m,args_gen_k,args_gen_p,args_positional_encoding,args_pe_dimension,args_split_seed,args_log_dir,args_device,args_model_folder,args_model_file,args_test_prefix,args_use_val_set,args_test_problem_type,args_test_seed,args_test_device,args_stop_early_testing,args_num_test_attempts,stats_mean_raw_score,stats_std_raw_score,stats_mean_ratio (valid),stats_std_ratio (valid),stats_num_valid_ratios,stats_total_time_sec,stats_avg_time_per_instance_sec,stats_num_instances_evaluated,args_run_artifact_dir
training_runs/vertex_coverGATWS50100/paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_111830.json,vertex_coverGATWS50100,paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092,Normal,vertex_cover,42,vertex_coverGATWS50100,GAT,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[50, 100]",,,,random_walk,8,0,training_runs/vertex_coverGATWS50100/paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092,cpu,training_runs/vertex_coverGATWS50100/paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092,best_model.pt,,False,,,,False,100,-48.609375,8.990649982586076,,,0,114.84730887413025,1.7944892011582851,64,
training_runs/vertex_coverGATHK400500/paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_113223.json,vertex_coverGATHK400500,paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143,Normal,vertex_cover,42,vertex_coverGATHK400500,GAT,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGATHK400500/paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143,cpu,training_runs/vertex_coverGATHK400500/paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143,best_model.pt,,False,,,,False,100,-254.9375,18.50664998723432,,,0,270.98993158340454,8.468435361981392,32,
training_runs/vertex_coverLiftMPWS50100/paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_113446.json,vertex_coverLiftMPWS50100,paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99,Normal,vertex_cover,42,vertex_coverLiftMPWS50100,LiftMP,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[50, 100]",,,,random_walk,8,0,training_runs/vertex_coverLiftMPWS50100/paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99,cpu,training_runs/vertex_coverLiftMPWS50100/paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99,best_model.pt,,False,,,,False,100,-47.21875,8.417743072670964,,,0,127.59062480926514,1.9936035126447678,64,
training_runs/vertex_coverGINHK400500/paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_113955.json,vertex_coverGINHK400500,paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5,Normal,vertex_cover,42,vertex_coverGINHK400500,GIN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGINHK400500/paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5,cpu,training_runs/vertex_coverGINHK400500/paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5,best_model.pt,,False,,,,False,100,-250.375,17.513833817870946,,,0,171.76201009750366,5.367562815546989,32,
training_runs/vertex_coverGatedGCNNWS400500/paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_114302.json,vertex_coverGatedGCNNWS400500,paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c,Normal,vertex_cover,42,vertex_coverGatedGCNNWS400500,GatedGCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGatedGCNNWS400500/paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c,cpu,training_runs/vertex_coverGatedGCNNWS400500/paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c,best_model.pt,,False,,,,False,100,-276.75,19.073869560212476,,,0,118.93314146995544,3.7166606709361076,32,
training_runs/vertex_coverGINWS100200/paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_114504.json,vertex_coverGINWS100200,paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a,Normal,vertex_cover,42,vertex_coverGINWS100200,GIN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_coverGINWS100200/paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a,cpu,training_runs/vertex_coverGINWS100200/paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a,best_model.pt,,False,,,,False,100,-95.796875,18.704260617152848,,,0,96.04253673553467,1.5006646364927292,64,
training_runs/vertex_coverGatedGCNNHK100200/paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_120341.json,vertex_coverGatedGCNNHK100200,paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f,Normal,vertex_cover,42,vertex_coverGatedGCNNHK100200,GatedGCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_coverGatedGCNNHK100200/paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f,cpu,training_runs/vertex_coverGatedGCNNHK100200/paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f,best_model.pt,,False,,,,False,100,-84.765625,18.169120599505497,,,0,114.98003578186035,1.796563059091568,64,
training_runs/vertex_coverGatedGCNNWS100200/paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_120821.json,vertex_coverGatedGCNNWS100200,paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f,Normal,vertex_cover,42,vertex_coverGatedGCNNWS100200,GatedGCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_coverGatedGCNNWS100200/paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f,cpu,training_runs/vertex_coverGatedGCNNWS100200/paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f,best_model.pt,,False,,,,False,100,-94.046875,18.258071577644092,,,0,88.04276752471924,1.375668242573738,64,
training_runs/vertex_coverGINWS50100/paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_124257.json,vertex_coverGINWS50100,paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420,Normal,vertex_cover,42,vertex_coverGINWS50100,GIN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[50, 100]",,,,random_walk,8,0,training_runs/vertex_coverGINWS50100/paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420,cpu,training_runs/vertex_coverGINWS50100/paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420,best_model.pt,,False,,,,False,100,-48.640625,8.920424575622787,,,0,105.49997615814209,1.6484371274709702,64,
training_runs/vertex_coverGATWS400500/paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67/WattsStrogatz_eval@@VERTEX_COVER_results__20250520_132628.json,vertex_coverGATWS400500,paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67,Normal,vertex_cover,42,vertex_coverGATWS400500,GAT,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,WattsStrogatz,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGATWS400500/paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67,cpu,training_runs/vertex_coverGATWS400500/paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67,best_model.pt,,False,,,,False,100,-293.0625,19.957670048129366,,,0,268.2211287021637,8.381910271942616,32,
training_runs/vertex_coverGCNNHK400500/paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_134257.json,vertex_coverGCNNHK400500,paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf,Normal,vertex_cover,42,vertex_coverGCNNHK400500,GCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGCNNHK400500/paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf,cpu,training_runs/vertex_coverGCNNHK400500/paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf,best_model.pt,,False,,,,False,100,-252.15625,17.76427133145348,,,0,348.1841285228729,10.880754016339779,32,
training_runs/vertex_coverGatedGCNNHK400500/paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135325.json,vertex_coverGatedGCNNHK400500,paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1,Normal,vertex_cover,42,vertex_coverGatedGCNNHK400500,GatedGCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,16,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[400, 500]",,,,random_walk,8,0,training_runs/vertex_coverGatedGCNNHK400500/paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1,cpu,training_runs/vertex_coverGatedGCNNHK400500/paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1,best_model.pt,,False,,,,False,100,-247.6875,17.889308084719207,,,0,180.74962210655212,5.648425690829754,32,
training_runs/vertex_coverGINHK100200/paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135627.json,vertex_coverGINHK100200,paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7,Normal,vertex_cover,42,vertex_coverGINHK100200,GIN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_coverGINHK100200/paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7,cpu,training_runs/vertex_coverGINHK100200/paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7,best_model.pt,,False,,,,False,100,-84.8125,18.167514792893385,,,0,130.87341260910034,2.044897072017193,64,
training_runs/vertex_coverGCNNHK100200/paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c/PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135948.json,vertex_coverGCNNHK100200,paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c,Normal,vertex_cover,42,vertex_coverGCNNHK100200,GCNN,16,,4,32,0.0,32,BatchNorm,4,,,0.001,32,1000,1000,1.0,True,20000,100,0.8,PowerlawCluster,0,20,1000,True,"[100, 200]",,,,random_walk,8,0,training_runs/vertex_coverGCNNHK100200/paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c,cpu,training_runs/vertex_coverGCNNHK100200/paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c,best_model.pt,,False,,,,False,100,-85.09375,18.26687468992712,,,0,152.08898901939392,2.37639045342803,64,
