model_folder_leaf,problem_type,model_type,dataset_name,num_instances_evaluated,mean_approximation_ratio,mean_raw_score,avg_time_per_instance_sec,detailed_results_file
paramhash_14a7ab4a8503,vertex_cover,LiftMP,ENZYMES,60,12.538993710691825,-26.65,1.2994877179463704,ENZYMES_eval@@VERTEX_COVER_results__20250520_132036.json
paramhash_a8567dbe63ef,vertex_cover,LiftMP,IMDB-BINARY,64,16.939393939393938,-17.5,1.5224135555326939,IMDB-BINARY_eval@@VERTEX_COVER_results__20250520_131910.json
paramhash_b9fc8f1e9cdf,vertex_cover,LiftMP,MUTAG,19,12.916666666666666,-10.421052631578947,0.8370252784929777,MUTAG_eval@@VERTEX_COVER_results__20250520_105848.json
paramhash_73d9dfbceb34,vertex_cover,LiftMP,PROTEINS,64,20.142857142857142,-36.015625,0.9449586123228073,PROTEINS_eval@@VERTEX_COVER_results__20250520_105954.json
paramhash:b8aacf7e2b0e0ff27dbffe082b62622c3f26774b8f873f59c9602eb80b085bb4,vertex_cover,GAT,PowerlawCluster,64,N/A,-85.171875,2.9363299794495106,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_110349.json
paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143,vertex_cover,GAT,PowerlawCluster,32,N/A,-254.9375,8.468435361981392,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_113223.json
paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf,vertex_cover,GCNN,PowerlawCluster,32,N/A,-252.15625,10.880754016339779,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_134257.json
paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c,vertex_cover,GCNN,PowerlawCluster,64,N/A,-85.09375,2.37639045342803,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135948.json
paramhash:d2fd1e1159f8efbdbc8daddbe0f6ba0a14afb928c2d3fb8eac7b579f38fd82c5,vertex_cover,GIN,PowerlawCluster,32,N/A,-250.375,5.367562815546989,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_113955.json
paramhash:c41808f264fce58d03e08922dadb9f61706db02efd3aa3f9648479e0d04141a7,vertex_cover,GIN,PowerlawCluster,64,N/A,-84.8125,2.044897072017193,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135627.json
paramhash:41514de5c0421b7133afc35fab08fe5f812df0d7cbb1321168982618961f238f,vertex_cover,GatedGCNN,PowerlawCluster,64,N/A,-84.765625,1.796563059091568,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_120341.json
paramhash:7e5886352861ee91e29a452173ae7cf5626b09a72f79d49fd384407dfc8927b1,vertex_cover,GatedGCNN,PowerlawCluster,32,N/A,-247.6875,5.648425690829754,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_135325.json
paramhash:4ca5f09a6d6203e2b61eb858a170ca276b9fdfe183d12267dc29c9be8fcc3cf7,vertex_cover,LiftMP,PowerlawCluster,32,N/A,-246.5625,14.439339123666286,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_094133.json
paramhash:402f188a0134f965161fe1e219812bbd14a81db38a4fc9d3fbf97ccc2a509ae3,vertex_cover,GAT,WattsStrogatz,64,N/A,-97.34375,2.384803142398596,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_101358.json
paramhash:87fa13a840ecc3841990bf9d9ed3f3416d72483c41e2daf08fc0caefb9437092,vertex_cover,GAT,WattsStrogatz,64,N/A,-48.609375,1.7944892011582851,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_111830.json
paramhash:de06427f73f65a4cbd7f042d09ad42f399472ac03e6afbaf99d3a7418bc7cd67,vertex_cover,GAT,WattsStrogatz,32,N/A,-293.0625,8.381910271942616,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_132628.json
paramhash:6bde92993f7305e30f1d6ca2c0709f50d67ae4b824e8a6a18fc3e2547cdce383,vertex_cover,GCNN,WattsStrogatz,32,N/A,-287.0,4.474974095821381,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_085725.json
paramhash:7fab9aa63807031248e5c5767820a9e08f9f46a22a2e6ecb0b8dc555e43ab8b8,vertex_cover,GCNN,WattsStrogatz,64,N/A,-96.25,1.756869688630104,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_111435.json
paramhash:2660f774c3b09af892517a6364175f145269c93cf82052f77eef69531a4e9d95,vertex_cover,GCNN,WattsStrogatz,64,N/A,-48.71875,1.3600995354354382,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_111619.json
paramhash:262d85bc39b33e309453a1f913334e0c07bbfccaced185d06e77b8150477bb52,vertex_cover,GIN,WattsStrogatz,32,N/A,-284.4375,3.7442478761076927,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_104757.json
paramhash:d94ba7115348403d840377d5d50d340beffbb7284ffe60fe9540f85c1206a30a,vertex_cover,GIN,WattsStrogatz,64,N/A,-95.796875,1.5006646364927292,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_114504.json
paramhash:1983bd7fcef08b96072f01b9e9055c208b8344e398de3392da00e99764636420,vertex_cover,GIN,WattsStrogatz,64,N/A,-48.640625,1.6484371274709702,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_124257.json
paramhash:59319d42b58f903a9161e49f028a3485e939f7006ee98c3a0d423335327dd972,vertex_cover,GatedGCNN,WattsStrogatz,64,N/A,-47.71875,0.9166343249380589,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_085841.json
paramhash:0e2906d8872cad04e60147d563c566e797d8e47bc535ec368febe99d19770e8c,vertex_cover,GatedGCNN,WattsStrogatz,32,N/A,-276.75,3.7166606709361076,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_114302.json
paramhash:07b2c67f894d8ca618e6c19dd19f212a6afab66430c7d68b150336fe6634f80f,vertex_cover,GatedGCNN,WattsStrogatz,64,N/A,-94.046875,1.375668242573738,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_120821.json
paramhash:88899d9ec53594d314bf3683043d7f34c40b8562f0246b8c2cba515439a62a5a,vertex_cover,LiftMP,WattsStrogatz,32,N/A,-284.46875,5.670773051679134,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_102133.json
paramhash:2dbba67483bb9725d59fb1783df785be2281577f407b4ad76eb47751fee669e3,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-94.96875,2.710256066173315,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_102453.json
paramhash:249c8e0e3c478464262499da03a13be808124f2c58ad01782857f3a16688ab99,vertex_cover,LiftMP,WattsStrogatz,64,N/A,-47.21875,1.9936035126447678,WattsStrogatz_eval@@VERTEX_COVER_results__20250520_113446.json
