model_folder_leaf,problem_type,model_type,dataset_name,num_instances_evaluated,mean_approximation_ratio,mean_raw_score,avg_time_per_instance_sec,detailed_results_file
paramhash:56b60c5acf09130ea575e8ed6ded2f0092e7f5ce913641eb910d496ff24aed7d,sat,LiftMP,random-sat,64,N/A,410.515625,24.94200298190117,random-sat_eval@@SAT_results__20250520_005206.json
paramhash:073b318b6d1b786793647c3b7ddd644a9a7436e8cdc0f74ef5cd983c1816813d,vertex_cover,LiftMP,BarabasiAlbert,64,N/A,-136.78125,2.455737728625536,BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_025045.json
paramhash:c7360fa12964b3d346cc8b9b561de554fb98dbec8ba83730337c4b4924053f13,vertex_cover,LiftMP,BarabasiAlbert,64,N/A,-431.671875,6.6986506804823875,BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_030006.json
paramhash:155d4955671ff48d507cf775b22094f4c96d3f9610848fe223694b67f06ec595,vertex_cover,LiftMP,BarabasiAlbert,64,N/A,-68.34375,1.6619771905243397,BarabasiAlbert_eval@@VERTEX_COVER_results__20250520_030219.json
paramhash:f00304449ffe8f9cc7c94ae528ddc824b562701db5bd873eb21b1a6786d4fb7e,vertex_cover,LiftMP,ErdosRenyi,64,N/A,-137.46875,4.76834686845541,ErdosRenyi_eval@@VERTEX_COVER_results__20250520_030927.json
paramhash:0c650fa814320dea47a796e2620bf77abad3bf624a3b603d8b20bf5f4490b312,vertex_cover,LiftMP,ErdosRenyi,64,N/A,-64.0625,2.7460808604955673,ErdosRenyi_eval@@VERTEX_COVER_results__20250520_034301.json
paramhash_b9fc8f1e9cdf,vertex_cover,LiftMP,MUTAG,19,12.916666666666666,-10.421052631578947,1.0371812895724648,MUTAG_eval@@VERTEX_COVER_results__20250520_041204.json
paramhash:b8aacf7e2b0e0ff27dbffe082b62622c3f26774b8f873f59c9602eb80b085bb4,vertex_cover,GAT,PowerlawCluster,64,N/A,-85.171875,4.349871814250946,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_012737.json
paramhash:cf48da3fcbbe1fdf2c601e51d763658b729186f8e76c3c1367078354c97e4143,vertex_cover,GAT,PowerlawCluster,32,N/A,-254.9375,8.978954628109932,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_013459.json
paramhash:d7aa64a7b824111b8f9ae68d4b4b66fd41dadb3f49b8dd5fd8f779c1bf10841c,vertex_cover,GCNN,PowerlawCluster,64,N/A,-85.09375,2.311031125485897,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_014710.json
paramhash:75c85f6e03759fdde6e577b3c595155b19abff0f9ba9c3172a5ec9a1f2ebd3bf,vertex_cover,GCNN,PowerlawCluster,32,N/A,-252.15625,5.956600576639175,PowerlawCluster_eval@@VERTEX_COVER_results__20250520_015241.json
